"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.999801636363636,1,0.990505454545455,0.987584181818182,0.999982181818182,1,1,1,1,0.956807818181818
"3",0.999789272727273,0.999978909090909,1,0.999762181818182,0.952481636363636,0.999131636363636,1,1,0.999996,0.999813454545455
"4",1,0.996314909090909,0.650518909090909,1,1,NA,NA,NA,NA,NA
"5",1,0.999806909090909,0.99922,1,0.999975272727273,0.998806545454546,1,1,0.999990363636364,0.99473
"6",0.999999818181818,0.999567636363636,0.912396,0.999999636363636,0.999999636363636,0.996764545454545,0.999629818181818,0.999782,0.999964181818182,0.995241454545455
"7",1,0.998218363636364,0.999997090909091,0.999999818181818,1,1,0.999818181818182,0.999818181818182,0.999993636363636,0.996457090909091
"8",0.999454545454545,0.999818181818182,1,0.998327454545455,0.873109818181818,0.999332909090909,0.999988727272727,0.890097636363636,0.992369454545455,0.999995272727273
"9",1,1,1,0.999583636363636,0.887724909090909,1,1,0.999817454545455,1,1
"10",0.999803818181818,0.999999636363636,1,0.999611454545455,0.998856,0.999808363636364,0.999999818181818,0.998127272727273,0.999995090909091,1
"11",0.999815636363636,0.999994545454545,0.999953636363636,0.363134727272727,0.186567272727273,1,1,1,0.999999454545455,0.998833818181818
"12",0.999607636363636,0.999416,1,1,1,0.999799090909091,0.990423272727273,0.999432909090909,1,0.999814
"13",0.999774909090909,0.999999818181818,0.998707454545455,0.999636363636364,0.999818181818182,0.999966181818182,0.997215272727273,0.999998181818182,1,0.999967454545455
"14",0.999994363636364,0.999444,0.999049272727273,1,0.999992363636364,0.982760181818182,0.864861636363636,1,1,0.244711090909091
"15",0.999809272727273,0.999802909090909,1,0.999999454545455,0.999255818181818,0.999990363636364,1,0.999946181818182,0.867745636363636,0.995515636363636
"16",0.999999818181818,0.999814363636364,0.999582545454546,0.992492181818182,0.999619090909091,1,1,1,0.999992,0.996609636363636
